>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP083503.1 Escherichia coli strain elppa5 chromosome, complete genome
>NZ_CP014111.1 Escherichia coli strain FDAARGOS_144 chromosome, complete genome
>NZ_CP018965.1 Escherichia coli strain Ecol_517 chromosome, complete genome
>NZ_CP062838.1 Escherichia coli strain Res13-Lact-PER02-33 chromosome, complete genome
>NZ_CP025573.1 Escherichia coli strain E-1246 chromosome, complete genome
>NZ_CP047876.1 Escherichia coli strain LD22-1 chromosome, complete genome
>NZ_CP057463.1 Escherichia fergusonii strain RHB26-C03 chromosome, complete genome
>NZ_CP069528.1 Escherichia coli strain FDAARGOS_1252 chromosome, complete genome
>NZ_CP080370.1 Escherichia coli strain PK5086 chromosome, complete genome
>NZ_CP069710.1 Escherichia coli strain EA2 chromosome, complete genome
>NZ_CP051744.1 Escherichia coli strain SCU-484 chromosome, complete genome
>NZ_CP060075.1 Escherichia coli strain G3/10 chromosome, complete genome
>NZ_CP098197.1 Escherichia coli strain Z0117EC0062 chromosome, complete genome
>NZ_CP010163.1 Escherichia coli strain H2 chromosome, complete genome
>NZ_CP062876.1 Escherichia coli O157:H16 strain Res13-Lact-PEA12-26 chromosome, complete genome
>NZ_CP070157.1 Escherichia coli strain FDAARGOS_1276 chromosome, complete genome
>NZ_CP110996.1 Escherichia coli strain XYEH3783 chromosome, complete genome
>NZ_CP028683.1 Escherichia coli strain 112 chromosome, complete genome
>NZ_OY754409.1 Escherichia coli isolate F467 chromosome 1, complete sequence
>NZ_CP044140.1 Escherichia coli O157 strain AR-0430 chromosome, complete genome
>NZ_CP124334.1 Escherichia coli strain AVS0786 chromosome, complete genome
>NZ_CP015069.1 Escherichia coli strain Ecol_743 chromosome, complete genome
>NZ_CP091704.1 Escherichia coli strain KGu016 chromosome, complete genome
>NZ_CP141075.1 Escherichia coli strain KE58 chromosome, complete genome
>NZ_CP086538.1 Escherichia coli strain Ec-042-T5-MAC chromosome, complete genome
>NZ_CP123247.1 Escherichia coli strain YZMc10-2 chromosome, complete genome
>NZ_CP126955.1 Escherichia coli O78:H4 strain APEC E123 chromosome, complete genome
>NZ_CP120568.1 Escherichia coli strain 582 chromosome, complete genome
>NZ_CP103623.1 Escherichia coli strain 3985 chromosome, complete genome
>NZ_CP029576.1 Escherichia coli strain DA33135 chromosome, complete genome
>NZ_CP097360.1 Escherichia coli strain AGR4587 chromosome, complete genome
>NZ_CP049839.1 Escherichia coli strain UPEC-455U/190220 chromosome, complete genome
>NZ_LR134220.1 Escherichia coli strain NCTC11121 chromosome 1, complete sequence
>NZ_AP026097.1 Escherichia coli strain 57_142493 chromosome, complete genome
>NZ_CP030778.2 Escherichia albertii strain 05-3106 chromosome, complete genome
>NZ_CP038360.1 Escherichia coli O157:H7 strain F7386 chromosome, complete genome
>NZ_CP057692.1 Escherichia fergusonii strain RHB17-C11 chromosome, complete genome
>NZ_CP007799.1 Escherichia coli Nissle 1917 chromosome, complete genome
>NZ_CP086556.1 Escherichia coli strain ESY002 chromosome, complete genome
>NZ_CP042844.1 Escherichia coli strain JME66 chromosome, complete genome
>NZ_CP134384.1 Escherichia coli strain TUM11352 chromosome, complete genome
>NZ_CP049081.1 Escherichia coli strain p10A chromosome, complete genome
>NZ_CP124819.1 Escherichia coli strain C325 chromosome, complete genome
>NZ_CP027140.1 Escherichia coli strain AR_0369 chromosome, complete genome
>NZ_CP038309.1 Escherichia coli O157:H7 strain Show KS 470-1 chromosome, complete genome
>NZ_CP076274.1 Escherichia coli strain P393-F10 chromosome, complete genome
>NZ_CP012127.1 Escherichia coli strain DH1Ec169 chromosome, complete genome
>NZ_CP036245.1 Escherichia coli strain S65EC chromosome, complete genome
>NZ_CP119120.1 Escherichia coli strain GENOMIC22-004 chromosome, complete genome
>NZ_CP057311.1 Escherichia fergusonii strain RHB30-C07 chromosome, complete genome
>NZ_CP028770.1 Escherichia coli strain A4 chromosome, complete genome
>NZ_CP117020.1 Escherichia coli strain MLI106K3 chromosome, complete genome
>NZ_CP008957.1 Escherichia coli O157:H7 str. EDL933 chromosome, complete genome
>NZ_CP104326.1 Escherichia coli strain THB42-F1 chromosome, complete genome
>NZ_CP122679.1 Escherichia coli strain ETEC4069 chromosome, complete genome
>NZ_CP071441.1 Escherichia coli strain EcPF20 chromosome, complete genome
>NZ_CP074001.1 Escherichia coli strain PM4 chromosome, complete genome
>NZ_AP025546.1 Escherichia coli strain LR-06 chromosome, complete genome
>NZ_CP053851.1 Escherichia coli strain CE1803A chromosome, complete genome
>NZ_CP119000.1 Escherichia coli strain CE0026f chromosome, complete genome
>NZ_CP054169.1 Escherichia coli strain STO_Bone1B chromosome, complete genome
>NZ_LR134296.1 Escherichia coli strain NCTC9041 chromosome 1, complete sequence
>NZ_CP051661.1 Escherichia coli strain 1162T7 chromosome, complete genome
>NZ_CP122876.1 Escherichia coli strain ETEC1717 chromosome, complete genome
>NZ_CP057243.1 Escherichia fergusonii strain RHB32-C05 chromosome, complete genome
>NZ_CP023849.1 Escherichia coli strain 4/0 chromosome, complete genome
>NZ_CP074366.1 Escherichia coli strain ZYB62 chromosome, complete genome
>NZ_CP139657.1 Escherichia coli strain TP10-3 chromosome, complete genome
>NZ_CP089930.1 Escherichia coli strain E69 chromosome, complete genome
>NZ_AP027440.1 Escherichia coli strain EC556 isolate EC556 chromosome, complete genome
>NZ_CP017434.1 Escherichia coli O157:H7 strain 1130 chromosome, complete genome
>NZ_CP072687.1 Escherichia coli strain YP3 chromosome, complete genome
>NZ_CP080121.1 Escherichia coli strain PK8217 chromosome, complete genome
>NZ_LT599825.1 Escherichia coli isolate E. coli NRZ14408 chromosome NRZ14408_C
>NZ_LT599830.1 Escherichia coli isolate E. coli NRZ14408 chromosome phage_14408_1
>NZ_LT599831.1 Escherichia coli isolate E. coli NRZ14408 chromosome phage_14408_2
>NZ_CP076232.1 Escherichia coli O157:H7 strain 7.1_Anguil chromosome, complete genome
>NZ_CP062708.1 Escherichia coli O157:H7 strain Z1832 chromosome, complete genome
>NZ_CP106756.1 Escherichia coli strain B-JRPT-4119 chromosome, complete genome
>NZ_CP045457.1 Escherichia coli strain ET12567 chromosome, complete genome
>NZ_CP064680.1 Escherichia coli K-12 strain CETR1G40 chromosome, complete genome
>NZ_CP015076.1 Escherichia coli strain Ecol_448 chromosome, complete genome
>NZ_CP049845.1 Escherichia coli strain UPEC-245U/190328 chromosome, complete genome
>NZ_CP027550.1 Escherichia coli strain 2015C-4136CT1 chromosome, complete genome
>NZ_CP141083.1 Escherichia coli strain KE50 chromosome, complete genome
>NZ_CP083512.1 Escherichia coli strain elppa4 chromosome, complete genome
>NZ_CP082073.1 Escherichia coli strain MS20659 chromosome, complete genome
>NZ_CP044293.1 Escherichia coli strain P276M chromosome, complete genome
>NZ_CP086622.1 Escherichia coli strain RIVM_C037884 chromosome, complete genome
>NZ_CP041437.1 Escherichia coli strain STEC005 chromosome, complete genome
>NZ_CP102675.1 Escherichia coli strain XH987 chromosome, complete genome
>NZ_CP058682.2 Escherichia coli strain MBT-5 chromosome, complete genome
>NZ_CP026343.1 Escherichia coli strain 9A chromosome, complete genome
>NZ_CP104516.1 Escherichia coli strain E4 chromosome, complete genome
>NZ_CP068706.1 Escherichia coli strain J53-p1-pV-hybrid-1 chromosome, complete genome
>NZ_CP028769.1 Escherichia coli strain A5 chromosome, complete genome
>NZ_CP125885.1 Escherichia coli strain AHS8C65RI chromosome, complete genome
>NZ_CP053600.1 Escherichia coli strain Nico21(DE3) chromosome, complete genome
>NZ_CP121153.1 Escherichia coli strain E57 chromosome, complete genome
>NZ_CP083877.1 Escherichia coli strain NDM4 chromosome, complete genome
>NZ_LT906474.1 Escherichia coli strain NCTC122 chromosome 1, complete sequence
>NZ_CP103559.1 Escherichia coli strain 3059 chromosome, complete genome
>NZ_CP103592.1 Escherichia coli O25b:H4-ST131 strain 4224 chromosome, complete genome
>NZ_CP101741.1 Escherichia coli strain FY26 chromosome, complete genome
>NZ_CP054161.1 Escherichia coli strain STO_Bone2 chromosome, complete genome
>NZ_CP018247.1 Escherichia coli strain 7784 chromosome, complete genome
>NZ_CP081698.1 Escherichia coli strain CT02 chromosome, complete genome
>NZ_CP070873.1 Escherichia fergusonii strain EF91 chromosome, complete genome
>NZ_CP063518.1 Escherichia coli strain EH01-18-02 chromosome, complete genome
>NZ_CP019271.1 Escherichia coli strain 13P460A chromosome, complete genome
>NZ_AP025209.2 Escherichia coli strain 2017.06.04CC chromosome, complete genome
>NZ_AP022221.1 Escherichia coli strain WP8-S17-ESBL-08 chromosome, complete genome
>NZ_CP038494.1 Escherichia coli O157:H7 strain TT12B chromosome, complete genome
>NZ_CP091836.1 Escherichia coli strain SWYHX138.33gt chromosome, complete genome
>NZ_CP134718.1 Escherichia coli strain RIVM_C029670 chromosome, complete genome
>NZ_CP059125.1 Escherichia coli strain EC45 chromosome, complete genome
>NZ_CP047010.1 Escherichia coli strain 19-5 chromosome, complete genome
>NZ_CP069386.1 Escherichia coli strain XH1815 chromosome, complete genome
>NZ_AP024921.1 Escherichia coli O145:H28 strain 12E115 chromosome, complete genome
>NZ_CP019560.1 Escherichia coli strain KSC1031 chromosome, complete genome
>NZ_CP062855.1 Escherichia coli O20:H12 strain Res13-Lact-PEB17-18 chromosome, complete genome
>NZ_AP023205.1 Escherichia coli strain TUM18781 chromosome, complete genome
>NZ_CP122620.1 Escherichia coli strain ETEC4090 chromosome, complete genome
>NZ_AP027419.1 Escherichia coli strain EC476 isolate EC476 chromosome, complete genome
>NZ_CP029242.1 Escherichia coli strain ECCRA-119 chromosome, complete genome
>NZ_CP076689.1 Escherichia coli strain S21EC chromosome, complete genome
>NZ_CP041031.1 Escherichia coli strain PT109 chromosome, complete genome
>NZ_LR536430.1 Escherichia coli isolate f974b26a-5e81-11e8-bf7f-3c4a9275d6c8 chromosome VREC0761
>NC_013008.1 Escherichia coli O157:H7 str. TW14359, complete sequence
>NZ_CP024269.1 Escherichia coli strain F8111-1SC3 chromosome, complete genome
>NZ_CP083585.1 Escherichia coli strain ECNB21-M121 chromosome, complete genome
>NZ_CP127255.1 Escherichia coli strain Q5 chromosome, complete genome
>NZ_AP022295.1 Escherichia coli strain BEC1-S17-ESBL-07 chromosome, complete genome
>NZ_CP034162.1 Escherichia albertii strain 06-3542 chromosome, complete genome
>NZ_CP123240.1 Escherichia coli strain YZLc1-3 chromosome, complete genome
>NZ_LR890410.1 Escherichia coli strain MSB2_1A isolate MSB2_1A chromosome 1, complete sequence
>NZ_CP028632.1 Escherichia coli strain 135 chromosome, complete genome
>NZ_CP132061.1 Escherichia coli strain QML220614 chromosome, complete genome
>NZ_LS998785.1 Escherichia coli isolate EC-TO75 chromosome 1, complete sequence
>NZ_CP126934.1 Escherichia coli O78:H4 strain APEC E19057 chromosome, complete genome
>NZ_CP133871.1 Escherichia coli strain ES5 chromosome, complete genome
>NZ_CP023673.1 Escherichia coli strain SMN013SH2 chromosome, complete genome
>NZ_CP070290.1 Escherichia albertii strain Sample 167 chromosome, complete genome
>NZ_CP030781.1 Escherichia albertii strain 07-3866 chromosome, complete genome
>NZ_CP122625.1 Escherichia coli strain ETEC4089 chromosome, complete genome
>NZ_CP043207.1 Escherichia coli O16:H48 strain PG20180053 chromosome, complete genome
>NZ_CP043942.1 Escherichia coli strain AR216.2b chromosome, complete genome
>NZ_CP029741.1 Escherichia coli strain AR_0085 chromosome, complete genome
>NZ_CP028662.1 Escherichia coli strain 119 chromosome, complete genome
>NZ_CP114892.1 Escherichia coli strain CM5 chromosome, complete genome
>NZ_CP068824.1 Escherichia coli strain RIVM_C030197 chromosome, complete genome
>NZ_CP024801.1 Escherichia coli strain AMA1167 chromosome, complete genome
>NZ_CP116044.1 Escherichia coli strain STEC1575 chromosome, complete genome
>NZ_CP007442.1 Escherichia coli ACN001 chromosome, complete genome
>NZ_CP038353.1 Escherichia coli O157:H7 strain F8797 chromosome, complete genome
>NZ_CP071259.1 Escherichia coli strain MEI005 chromosome, complete genome
>NZ_CP054236.1 Escherichia coli strain EcPF5 chromosome, complete genome
>NZ_CP022912.1 Escherichia coli O6:H16 strain 2011EL-1370-2 chromosome, complete genome
>NZ_CP010122.1 Escherichia coli strain C5 chromosome, complete genome
>NZ_CP103672.1 Escherichia coli O25b:H4-ST131 strain 4433 chromosome, complete genome
>NZ_CP010445.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_AP027423.1 Escherichia coli strain EC261 isolate EC261 chromosome, complete genome
>NZ_CP010444.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_CP062908.1 Escherichia coli strain Res13-Lact-EB12-05 chromosome, complete genome
>NZ_CP034399.1 Escherichia coli strain CRE1 chromosome, complete genome
>NZ_CP122938.1 Escherichia coli strain ETEC1701 chromosome, complete genome
>NZ_CP030111.1 Escherichia coli strain MCJCHV-1 chromosome, complete genome
>NZ_CP018948.1 Escherichia coli strain Ecol_224 chromosome, complete genome
>NZ_CP034658.1 Escherichia coli strain ATCC 98082 chromosome, complete genome
>NZ_CP018121.1 Escherichia coli strain MRSN346355 chromosome, complete genome
>NZ_CP019071.1 Escherichia coli strain CRE1493 chromosome, complete genome
>NZ_CP107188.1 Escherichia coli strain R2 chromosome, complete genome
>NZ_LR130552.1 Escherichia coli strain MS14386 isolate MS14386 chromosome 1
>NZ_LR882990.1 Escherichia coli isolate L7_E1373_ETEC chromosome 1, complete sequence
>NZ_AP027946.1 Escherichia coli strain VE-F10 chromosome, complete genome
>NZ_AP022409.1 Escherichia coli strain STW0522-31 chromosome, complete genome
>NZ_CP069447.1 Escherichia coli strain FDAARGOS_1255 chromosome, complete genome
>NZ_CP086500.1 Escherichia coli strain Ec-050-T5-MAC chromosome, complete genome
>NZ_CP032791.1 Escherichia coli strain NZRM4165 chromosome, complete genome
>NZ_CP069627.1 Escherichia coli strain ESM1.4 chromosome, complete genome
>NZ_CP028700.1 Escherichia coli strain 105 chromosome, complete genome
>NZ_CP055256.1 Escherichia coli strain AH25 chromosome, complete genome
>NZ_AP014857.1 Escherichia albertii strain EC06-170 chromosome, complete genome
>NZ_CP095155.1 Escherichia coli strain Iso00041 chromosome, complete genome
>NZ_CP114592.1 Escherichia coli strain WEC chromosome, complete genome
>NZ_CP017438.1 Escherichia coli O157:H7 strain 2159 chromosome, complete genome
>NZ_CP117001.1 Escherichia coli strain MLI108K2 chromosome, complete genome
>NZ_CP104500.1 Escherichia coli strain E9 chromosome, complete genome
>NZ_CP055019.1 Escherichia coli strain SWHEFF_69 chromosome, complete genome
>NZ_CP028693.1 Escherichia coli strain 108 chromosome, complete genome
>NZ_CP047609.1 Escherichia coli strain NMBU_ W06E18 chromosome, complete genome
>NZ_CP027430.1 Escherichia coli strain AS19-RrmA- chromosome, complete genome
>NZ_AP027957.1 Escherichia coli strain VE-T10 chromosome, complete genome
>NZ_CP069583.1 Escherichia coli strain FDAARGOS_1265 chromosome, complete genome
>NZ_CP116970.1 Escherichia coli strain CUVM3 chromosome, complete genome
>NZ_CP047277.1 Escherichia coli strain N18-04097 chromosome, complete genome
>NZ_CP062713.1 Escherichia coli O157:H7 strain Z1830 chromosome, complete genome
>NZ_CP012635.1 Escherichia coli strain SF-088 chromosome, complete genome
>NZ_CP015995.1 Escherichia coli strain S51 chromosome, complete genome
>NZ_CP023844.1 Escherichia coli strain 4/1-1 chromosome, complete genome
>NZ_CP128963.1 Escherichia coli strain TUM1887 chromosome, complete genome
>NZ_CP028746.1 Escherichia coli strain A29 chromosome, complete genome
>NZ_CP099903.1 Escherichia albertii strain 133_1_GWG_A chromosome, complete genome
>NC_017660.1 Escherichia coli KO11FL, complete sequence
>NZ_LR890405.1 Escherichia coli strain MSB1_7C isolate MSB1_7C chromosome 1, complete sequence
>NZ_LR130545.1 Escherichia coli strain B36 isolate B36 chromosome 1
>NZ_LR882050.1 Escherichia coli isolate 2016-02-324 chromosome 1, complete sequence
>NZ_CP010160.1 Escherichia coli strain H1 chromosome, complete genome
>NZ_CP101522.1 Escherichia coli O157:H7 strain MD2019EC2705C4 chromosome, complete genome
>NZ_AP019538.1 Escherichia coli strain THO-008 chromosome, complete genome
>NZ_CP124415.1 Escherichia coli strain AVS0223 chromosome, complete genome
>NZ_CP123231.1 Escherichia coli strain 5132 chromosome, complete genome
>NZ_CP028767.1 Escherichia coli strain A7 chromosome, complete genome
>NZ_CP040107.1 Escherichia coli O157:H7 strain MB9-1 chromosome
>NZ_CP124429.1 Escherichia coli strain AVS0051 chromosome, complete genome
>NZ_CP103533.1 Escherichia coli strain 4238 chromosome, complete genome
>NZ_CP071439.1 Escherichia coli strain EcPNK004 chromosome, complete genome
>NZ_CP028680.1 Escherichia coli strain 113 chromosome, complete genome
>NZ_CP023388.1 Escherichia coli strain 1105 chromosome, complete genome
>NZ_CP133120.1 Escherichia coli O157:H7 strain PNUSAE145590 chromosome, complete genome
>NZ_CP062739.1 Escherichia coli O157:H7 strain Z1723 chromosome, complete genome
